vertex_id,y,z
711,-243.451,372.421
712,-243.452,377.465
713,-243.453,382.509
714,-243.454,387.553
715,-238.339,4.253
716,-238.341,9.297
717,-238.342,14.340
718,-238.343,19.383
719,-238.345,24.427
720,-238.346,29.470
721,-238.347,34.514
722,-238.349,39.557
723,-238.350,44.601
724,-238.351,49.644
725,-238.353,54.687
726,-238.354,59.731
727,-238.356,64.774
728,-238.357,69.818
729,-238.358,74.861
730,-238.360,79.905
731,-238.361,84.948
732,-238.362,89.991
733,-238.364,95.035
734,-238.365,100.078
735,-238.366,105.122
736,-238.368,110.165
737,-238.369,115.209
738,-238.371,120.252
739,-238.372,125.295
740,-238.373,130.339
741,-238.375,135.382
742,-238.376,140.426
743,-238.377,145.469
744,-238.379,150.513
745,-238.380,155.556
746,-238.382,160.599
747,-238.383,165.643
748,-238.384,170.686
749,-238.386,175.730
750,-238.387,180.773
751,-238.388,185.817
752,-238.390,190.860
753,-238.391,195.903
754,-238.392,200.947
755,-238.394,205.990
756,-238.395,211.034
757,-238.397,216.077
758,-238.398,221.121
759,-238.399,226.164
760,-238.401,231.207
761,-238.402,236.251
762,-238.403,241.294
763,-238.405,246.338
764,-238.406,251.381
765,-238.407,256.425
766,-238.409,261.468
767,-238.410,266.511
768,-238.412,271.555
769,-238.413,276.598
770,-238.414,281.642
771,-238.416,286.685
772,-238.417,291.729
773,-238.418,296.772
774,-238.420,301.815
775,-238.421,306.859
776,-238.423,311.902
777,-238.424,316.946
778,-238.425,321.989
779,-238.427,327.033
780,-238.428,332.076
781,-238.429,337.119
782,-238.431,342.163
783,-238.432,347.206
784,-238.433,352.250
785,-238.435,357.293
786,-238.436,362.337
787,-238.438,367.380
788,-238.439,372.423
789,-238.440,377.467
790,-238.442,382.510
791,-238.443,387.554
792,-233.308,4.291
793,-233.309,9.334
794,-233.311,14.376
795,-233.313,19.419
796,-233.314,24.462
797,-233.316,29.505
798,-233.317,34.548
799,-233.319,39.591
800,-233.321,44.634
801,-233.322,49.677
802,-233.324,54.720
803,-233.326,59.763
804,-233.327,64.806
805,-233.329,69.849
806,-233.331,74.892
807,-233.332,79.935
808,-233.334,84.978
809,-233.335,90.021
810,-233.337,95.064
811,-233.339,100.106
812,-233.340,105.149
813,-233.342,110.192
814,-233.344,115.235
815,-233.345,120.278
816,-233.347,125.321
817,-233.349,130.364
818,-233.350,135.407
819,-233.352,140.450
820,-233.354,145.493
821,-233.355,150.536
822,-233.357,155.579
823,-233.358,160.622
824,-233.360,165.665
825,-233.362,170.708
826,-233.363,175.751
827,-233.365,180.794
828,-233.367,185.837
829,-233.368,190.879
830,-233.370,195.922
831,-233.372,200.965
